Trans Number,Employee,Year,Month,WeekDay,Product,Units,Sales,Location
444,Betsy,2018,December,Friday,eye liner,30,91.96962159,south
445,Cristina,2020,August,Monday,lipstick,17,52.93857954,midwest
446,Hallagan,2019,June,Saturday,lip gloss,36,109.9514443,south
447,Hallagan,2020,January,Saturday,foundation,4,10.2429382,south
448,Cici,2018,January,Thursday,mascara,4,14.17038085,east
449,Ashley,2018,June,Sunday,eye liner,81,244.9749987,east
450,Cristina,2018,December,Tuesday,eye liner,87,263.8303785,south
451,Betsy,2018,February,Friday,eye liner,13,40.50783178,south
452,Zaret,2018,May,Tuesday,lip gloss,48,145.8469104,east
453,Betsy,2019,September,Monday,lipstick,2,7.098133187,west
454,Jen,2018,June,Thursday,lip gloss,32,98.36664797,east
455,Ashley,2019,August,Wednesday,lip gloss,13,41.16877365,west
456,Cici,2020,September,Sunday,mascara,94,283.4525142,west
457,Jen,2020,March,Monday,mascara,63,190.8372495,east
458,Zaret,2020,June,Tuesday,foundation,45,136.9794265,west
459,Colleen,2019,April,Sunday,mascara,71,214.7689878,south
460,Colleen,2018,April,Friday,mascara,74,224.1823885,east
461,Ashley,2018,January,Monday,mascara,48,145.6495134,west
462,Cristina,2018,February,Saturday,lip gloss,63,191.1884164,east
463,Colleen,2019,April,Thursday,lip gloss,48,145.691275,west
464,Hallagan,2020,August,Tuesday,mascara,26,80.61442687,midwest
465,Ashley,2020,June,Tuesday,eye liner,58,176.2652005,south
466,Zaret,2020,February,Sunday,lip gloss,2,8.747949407,midwest
467,Colleen,2020,August,Monday,lip gloss,36,109.67661,midwest
468,Cici,2019,June,Sunday,mascara,22,68.35507479,east
469,Cici,2019,August,Tuesday,lip gloss,92,277.6668052,midwest
470,Betsy,2018,October,Tuesday,foundation,29,88.71358947,east
471,Ashley,2020,October,Thursday,lip gloss,42,128.1707509,south
472,Cristina,2018,April,Friday,lip gloss,25,77.31570652,south
473,Colleen,2019,March,Saturday,foundation,40,122.5392817,midwest
474,Cici,2018,May,Tuesday,lip gloss,3,10.57088306,south
475,Betsy,2019,July,Monday,foundation,1,0.821789941,south
476,Ashley,2020,September,Saturday,foundation,12,37.68610106,east
477,Cici,2018,June,Thursday,eye liner,0,2.001360017,south
478,Hallagan,2020,February,Sunday,lip gloss,35,106.2634708,south
479,Emilee,2019,May,Tuesday,foundation,2,7.681747777,east
480,Zaret,2020,May,Monday,lipstick,10,31.78515542,east
481,Jen,2019,October,Friday,eye liner,6,19.73354536,midwest
482,Jen,2018,March,Wednesday,lip gloss,4,14.10456918,west
483,Cici,2020,October,Thursday,mascara,91,274.9203205,east
484,Jen,2020,July,Wednesday,lip gloss,12,37.87722641,east
485,Zaret,2018,November,Sunday,foundation,21,65.28142315,west
486,Jen,2019,March,Wednesday,mascara,44,134.3145489,west
487,Betsy,2019,January,Sunday,eye liner,75,227.0986724,west
488,Betsy,2018,July,Tuesday,eye liner,37,112.9969223,south
489,Zaret,2020,July,Thursday,eye liner,58,176.0659899,midwest
490,Jen,2020,February,Sunday,eye liner,74,223.6087851,south
491,Hallagan,2018,June,Sunday,foundation,64,193.5494719,south
492,Betsy,2019,November,Sunday,lipstick,53,160.4611321,south
493,Ashley,2018,April,Friday,eye liner,1,0.450033056,midwest
494,Ashley,2020,March,Monday,mascara,21,65.06546055,west
495,Jen,2020,February,Thursday,mascara,90,271.3377044,east
496,Jen,2019,October,Tuesday,lipstick,61,184.8282245,midwest
497,Betsy,2019,May,Friday,mascara,64,193.9812544,east
498,Zaret,2020,March,Monday,eye liner,79,238.6089526,east
499,Zaret,2020,May,Thursday,foundation,11,34.58035026,west
500,Colleen,2020,June,Tuesday,mascara,17,52.99217833,midwest
501,Colleen,2020,October,Thursday,lip gloss,10,28.50743786,east
502,Cristina,2018,May,Tuesday,mascara,61,185.381512,south
503,Ashley,2019,July,Thursday,eye liner,81,245.1913841,west
504,Colleen,2018,December,Tuesday,mascara,86,259.650619,east
505,Cristina,2018,June,Monday,eye liner,6,16.59820945,east
506,Jen,2019,September,Thursday,lipstick,75,226.2910811,west
507,Zaret,2019,July,Monday,mascara,87,262.4966018,west
508,Cici,2020,July,Sunday,foundation,15,47.14326289,west
509,Jen,2019,March,Saturday,lipstick,6,20.04283816,east
510,Zaret,2018,February,Saturday,eye liner,4,14.01228554,east
511,Jen,2020,April,Saturday,eye liner,56,169.2487772,west
512,Betsy,2018,May,Tuesday,foundation,76,230.1804612,south
513,Hallagan,2019,July,Thursday,lipstick,27,82.59914393,south
514,Betsy,2019,December,Monday,foundation,58,175.7718162,south
515,Jen,2018,February,Tuesday,lipstick,67,202.6222612,east
516,Colleen,2019,September,Sunday,lip gloss,79,238.7859456,south
517,Cristina,2018,September,Monday,mascara,38,116.6859874,south
518,Betsy,2018,March,Thursday,mascara,4,13.64163524,south
519,Zaret,2020,March,Friday,eye liner,45,137.0687363,south
520,Betsy,2018,May,Saturday,foundation,10,32.19489999,west
521,Hallagan,2019,November,Saturday,foundation,86,260.3971787,midwest
522,Cici,2020,May,Thursday,foundation,75,226.7144382,west
523,Emilee,2019,March,Saturday,eye liner,77,232.4963052,west
524,Emilee,2018,March,Sunday,eye liner,10,31.81813213,west
525,Cristina,2018,October,Tuesday,foundation,62,188.3808824,west
526,Betsy,2018,January,Monday,lip gloss,73,221.2921485,east
527,Jen,2018,January,Thursday,foundation,62,187.2335256,south
528,Zaret,2020,June,Saturday,mascara,11,35.72324129,east
529,Hallagan,2019,December,Monday,mascara,28,86.07822334,south
530,Hallagan,2018,August,Sunday,mascara,57,172.3620871,west
531,Cici,2018,December,Friday,eye liner,34,103.4937406,south
532,Jen,2019,October,Friday,eye liner,89,267.8641502,west
533,Hallagan,2018,September,Friday,lip gloss,32,97.88934864,midwest
534,Zaret,2020,November,Saturday,eye liner,38,116.0445877,east
535,Cristina,2019,August,Saturday,lip gloss,82,248.0470769,east
536,Jen,2018,May,Wednesday,foundation,29,89.29468736,south
537,Emilee,2020,September,Sunday,lipstick,17,52.24619733,west
538,Hallagan,2018,August,Wednesday,eye liner,50,151.865259,east
539,Colleen,2018,March,Thursday,lipstick,7,22.95994806,east
540,Ashley,2019,March,Saturday,lip gloss,50,151.361824,east
541,Cristina,2019,February,Friday,lipstick,20,61.87867885,midwest
542,Jen,2019,February,Friday,foundation,37,112.8336337,east
543,Zaret,2018,August,Thursday,mascara,58,176.6097114,east
544,Colleen,2020,January,Saturday,foundation,25,76.92028313,south
545,Hallagan,2018,March,Thursday,eye liner,34,103.1820816,midwest
546,Betsy,2020,October,Monday,foundation,3,11.58207294,midwest
547,Betsy,2020,September,Sunday,lipstick,63,190.5852181,east
548,Betsy,2020,January,Tuesday,eye liner,44,133.6150824,midwest
549,Cici,2018,April,Monday,eye liner,87,263.1628326,midwest
550,Jen,2019,February,Friday,lipstick,4,14.19109504,south
551,Ashley,2020,April,Wednesday,foundation,93,281.1707263,midwest
552,Cristina,2018,November,Monday,lipstick,10,32.0650905,east
553,Zaret,2020,December,Sunday,mascara,19,58.97212617,east
554,Hallagan,2019,July,Monday,eye liner,30,92.52763084,south
555,Ashley,2020,November,Tuesday,mascara,1,1.278237266,south
556,Jen,2020,April,Sunday,eye liner,46,139.4116265,east
557,Cristina,2018,August,Thursday,foundation,44,133.5087774,midwest
558,Betsy,2018,October,Wednesday,eye liner,47,143.2122153,midwest
559,Jen,2020,September,Saturday,eye liner,86,260.3915726,east
560,Jen,2020,July,Thursday,foundation,76,229.9634798,midwest
561,Zaret,2018,March,Thursday,mascara,55,166.9902989,west
562,Ashley,2018,May,Wednesday,eye liner,1,0.792897983,south
563,Ashley,2018,July,Tuesday,mascara,62,187.6336171,west
564,Ashley,2018,January,Monday,foundation,73,220.965158,midwest
565,Hallagan,2018,November,Sunday,lipstick,12,38.43875396,west
566,Emilee,2018,August,Sunday,mascara,0,1.599406035,west
567,Cici,2020,August,Friday,eye liner,23,71.39535724,west
568,Cici,2019,January,Sunday,eye liner,73,220.8077847,midwest
569,Jen,2019,June,Saturday,lip gloss,73,221.7811281,west
570,Emilee,2019,March,Saturday,foundation,43,131.0580958,south
571,Hallagan,2020,July,Thursday,lipstick,60,182.2924607,east
572,Emilee,2020,December,Wednesday,lip gloss,40,121.8660285,midwest
573,Jen,2019,July,Friday,lip gloss,7,18.91552292,midwest
574,Betsy,2018,September,Friday,foundation,39,118.3657732,midwest
575,Colleen,2018,December,Saturday,mascara,84,253.7903341,west
576,Jen,2020,April,Sunday,lipstick,92,277.8091138,west
577,Hallagan,2019,September,Monday,mascara,68,206.083186,south
578,Hallagan,2018,November,Sunday,lip gloss,7,23.19258327,east
579,Zaret,2020,October,Thursday,eye liner,9,24.83623714,south
580,Cici,2019,October,Friday,mascara,51,154.4006513,midwest
581,Hallagan,2019,November,Sunday,lip gloss,59,178.8973168,south
582,Cristina,2019,November,Saturday,mascara,64,194.4415113,west
583,Cici,2019,November,Wednesday,lip gloss,0,2.516330534,east
584,Jen,2019,February,Monday,mascara,81,243.8159021,midwest
585,Emilee,2019,April,Sunday,lipstick,93,280.7978116,midwest
586,Cici,2020,January,Wednesday,lip gloss,20,61.96742485,south
587,Ashley,2019,June,Saturday,eye liner,39,119.9083594,east
588,Cristina,2018,October,Wednesday,foundation,6,20.01833198,south
589,Cristina,2018,February,Tuesday,foundation,34,103.6794287,south
590,Hallagan,2020,January,Wednesday,lip gloss,33,101.3110181,west
591,Ashley,2018,January,Thursday,lipstick,10,28.46388587,west
592,Cici,2020,August,Monday,eye liner,47,141.9714066,midwest
593,Emilee,2018,January,Thursday,foundation,94,284.6127607,east
594,Hallagan,2020,May,Friday,foundation,92,278.2264092,midwest
595,Colleen,2019,January,Wednesday,lip gloss,68,205.9590553,south
596,Jen,2018,March,Sunday,lip gloss,37,112.8515191,midwest
597,Emilee,2018,July,Tuesday,eye liner,78,235.3714403,south
598,Hallagan,2020,December,Wednesday,eye liner,14,43.75601314,east
599,Cici,2020,October,Friday,foundation,33,100.5495848,east
600,Emilee,2018,June,Thursday,eye liner,64,194.1818819,west
601,Zaret,2020,August,Monday,lip gloss,6,20.22970382,south
602,Cici,2020,May,Friday,lipstick,65,197.4890683,west
603,Betsy,2018,January,Thursday,mascara,24,74.2830895,south
604,Colleen,2019,December,Monday,lipstick,89,269.008885,midwest
605,Colleen,2019,September,Monday,mascara,94,284.2498752,east
606,Zaret,2019,December,Thursday,foundation,67,203.7131527,south
607,Colleen,2018,August,Wednesday,mascara,7,23.43437289,south
608,Colleen,2018,September,Friday,foundation,58,176.003113,east
609,Jen,2018,June,Thursday,mascara,77,232.6682153,midwest
610,Zaret,2019,September,Sunday,eye liner,50,151.123277,east
611,Betsy,2020,August,Monday,lip gloss,10,32.13986618,south
612,Hallagan,2019,August,Wednesday,mascara,2,7.780506694,west
613,Ashley,2020,July,Thursday,mascara,17,53.69213881,east
614,Cristina,2019,April,Monday,mascara,90,272.4138913,midwest
615,Hallagan,2020,November,Saturday,foundation,58,175.5906434,south
616,Cristina,2020,January,Saturday,mascara,66,199.926907,midwest
617,Jen,2018,June,Monday,eye liner,6,20.24222298,midwest
618,Colleen,2020,April,Wednesday,lip gloss,90,272.5871859,south
619,Colleen,2020,May,Monday,lip gloss,38,115.8579914,west
620,Cristina,2018,October,Tuesday,mascara,3,10.9076553,midwest
621,Emilee,2018,April,Monday,foundation,4,10.39215956,midwest
622,Ashley,2018,June,Thursday,eye liner,8,25.89968015,west
623,Colleen,2018,March,Thursday,mascara,8,22.23218549,west
624,Hallagan,2018,September,Friday,mascara,72,218.6877788,midwest
625,Jen,2020,January,Saturday,eye liner,83,250.6659025,west
626,Zaret,2020,May,Friday,foundation,12,38.9775882,west
627,Colleen,2020,May,Monday,foundation,8,21.53326034,south
628,Betsy,2020,February,Sunday,eye liner,22,68.12964121,west
629,Cristina,2020,October,Friday,mascara,2,3.829528774,west
630,Hallagan,2020,January,Tuesday,foundation,55,166.7710642,south
631,Jen,2020,June,Saturday,eye liner,40,122.5516637,west
632,Betsy,2019,June,Sunday,foundation,61,183.9597681,midwest
633,Hallagan,2019,June,Wednesday,eye liner,40,122.5410789,south
634,Jen,2020,September,Saturday,eye liner,31,94.68392542,midwest
635,Betsy,2018,April,Friday,mascara,6,20.45460726,midwest
636,Hallagan,2019,October,Tuesday,foundation,6,16.10065862,south
637,Hallagan,2019,July,Thursday,eye liner,14,43.3962161,midwest
638,Hallagan,2018,July,Saturday,mascara,94,283.8751904,east
639,Jen,2019,July,Friday,mascara,70,212.2686379,east
640,Emilee,2018,November,Sunday,lip gloss,8,21.44176526,south
641,Emilee,2020,October,Friday,lip gloss,8,21.90881602,south
642,Ashley,2019,December,Friday,mascara,2,7.641601437,midwest
643,Hallagan,2017,December,Sunday,lipstick,10,31.84218807,south
644,Cici,2019,April,Monday,eye liner,51,154.531757,south
645,Cici,2018,March,Thursday,eye liner,5,16.8537951,south
646,Emilee,2020,May,Friday,eye liner,39,119.4883504,south
647,Ashley,2018,March,Sunday,eye liner,20,61.92623963,west
648,Emilee,2018,November,Monday,foundation,29,88.79031532,south
649,Zaret,2020,January,Wednesday,foundation,43,130.5955039,midwest
650,Ashley,2018,August,Thursday,mascara,40,122.3417765,midwest
651,Emilee,2020,February,Sunday,foundation,36,109.4092426,south
652,Emilee,2019,January,Sunday,eye liner,88,265.7031233,south
653,Betsy,2019,January,Thursday,mascara,55,166.4317325,south
654,Jen,2018,December,Tuesday,eye liner,65,196.8647879,west
655,Jen,2019,July,Thursday,lip gloss,6,19.48899294,west
656,Cici,2020,May,Monday,foundation,1,1.229970795,midwest
657,Jen,2020,September,Wednesday,foundation,32,97.808768,south
658,Hallagan,2020,January,Saturday,mascara,17,53.06101649,south
659,Zaret,2018,July,Friday,eye liner,25,76.37860249,east
660,Zaret,2019,March,Wednesday,eye liner,11,35.75348039,east
661,Zaret,2018,February,Tuesday,mascara,51,155.0195365,south
662,Emilee,2020,October,Friday,lipstick,25,78.06843611,west
663,Hallagan,2020,November,Tuesday,eye liner,27,82.45085106,east
664,Betsy,2019,June,Wednesday,lip gloss,38,116.7885336,west
665,Cristina,2020,September,Wednesday,foundation,27,82.56970261,midwest
666,Jen,2020,June,Tuesday,eye liner,59,178.6321577,west
667,Cici,2020,February,Sunday,foundation,73,220.4479276,west
668,Colleen,2019,August,Wednesday,eye liner,43,131.4549753,midwest
669,Cristina,2020,July,Wednesday,mascara,51,154.7781945,west
670,Betsy,2018,September,Monday,lip gloss,32,98.00698757,midwest
671,Zaret,2020,April,Saturday,lip gloss,89,268.5882936,midwest
672,Jen,2019,November,Sunday,mascara,1,0.610477434,east
673,Hallagan,2020,March,Friday,eye liner,26,81.0864025,east
674,Jen,2019,February,Friday,foundation,56,170.2888048,midwest
675,Betsy,2018,August,Sunday,lip gloss,10,32.44609901,midwest
676,Hallagan,2018,February,Friday,lipstick,8,25.63945706,east
677,Colleen,2019,April,Monday,eye liner,75,226.8135981,south
678,Jen,2019,January,Thursday,foundation,79,239.4766386,east
679,Colleen,2019,May,Friday,foundation,25,75.94418767,south
680,Cristina,2020,October,Thursday,lip gloss,22,68.8143905,east
681,Betsy,2018,September,Monday,lipstick,88,265.6416698,west
682,Emilee,2018,November,Sunday,foundation,94,284.3289927,midwest
683,Jen,2019,September,Monday,mascara,58,176.7259385,south
684,Emilee,2019,June,Saturday,lip gloss,66,200.2083002,south
685,Jen,2020,August,Monday,eye liner,82,247.9354607,west
686,Hallagan,2020,September,Sunday,foundation,94,283.7655669,south
687,Ashley,2020,December,Thursday,lip gloss,27,82.88317362,west
688,Betsy,2018,April,Monday,lipstick,56,169.9565867,midwest
689,Emilee,2020,April,Wednesday,mascara,82,247.8009491,south
690,Emilee,2019,September,Sunday,mascara,7,23.06771431,south
691,Betsy,2020,January,Tuesday,lip gloss,25,77.367216,west
692,Ashley,2020,December,Thursday,foundation,15,46.80897014,south
693,Jen,2018,October,Tuesday,foundation,39,118.8206861,south
694,Betsy,2019,September,Monday,lip gloss,22,67.92092105,midwest
695,Zaret,2019,March,Saturday,lipstick,0,1.580294052,west
696,Betsy,2018,July,Tuesday,mascara,47,142.625667,south
697,Jen,2020,March,Monday,lipstick,36,110.2585155,east
698,Jen,2018,September,Monday,eye liner,46,139.5284711,west
699,Emilee,2020,April,Sunday,eye liner,84,253.6825853,east
700,Cristina,2018,March,Sunday,lip gloss,38,115.7650465,east
701,Betsy,2018,May,Wednesday,lip gloss,13,40.4735062,east
702,Emilee,2020,April,Wednesday,foundation,40,122.4218045,midwest
703,Colleen,2018,June,Thursday,lipstick,46,139.4072221,midwest
704,Cici,2018,July,Saturday,eye liner,11,35.10522212,east
705,Ashley,2019,June,Wednesday,lip gloss,1,0.898225896,west
706,Ashley,2018,March,Wednesday,lip gloss,32,98.6185495,east
707,Cici,2018,January,Thursday,foundation,78,235.3774636,midwest
708,Ashley,2019,January,Sunday,lipstick,71,215.1433462,east
709,Colleen,2018,April,Friday,lip gloss,36,109.7994109,midwest
710,Jen,2018,August,Sunday,mascara,79,238.752891,west
711,Ashley,2019,August,Tuesday,lipstick,92,278.3368932,west
712,Hallagan,2018,January,Thursday,foundation,38,116.2022613,midwest
713,Betsy,2020,December,Wednesday,mascara,50,152.0846801,east
714,Cristina,2020,February,Thursday,foundation,31,93.73408354,west
715,Jen,2020,June,Tuesday,lip gloss,9,29.38609867,east
716,Hallagan,2019,February,Friday,eye liner,24,73.27888606,west
717,Ashley,2019,January,Wednesday,lip gloss,50,152.5860856,west
718,Jen,2020,February,Sunday,lipstick,32,98.19198388,west
719,Cici,2018,September,Monday,foundation,71,214.9278284,south
720,Cristina,2020,October,Friday,mascara,28,86.1072036,south
721,Ashley,2020,October,Monday,lip gloss,40,121.8314663,east
722,Cristina,2018,January,Thursday,eye liner,75,226.9871157,east
723,Zaret,2018,August,Sunday,lip gloss,30,92.03062567,midwest
724,Jen,2019,December,Thursday,lip gloss,78,235.897183,south
725,Colleen,2019,August,Tuesday,mascara,15,47.09802134,south
726,Cristina,2018,November,Sunday,lipstick,30,91.80098994,west
727,Zaret,2019,September,Monday,foundation,27,83.56441775,west
728,Hallagan,2020,June,Tuesday,lip gloss,95,286.6842166,midwest
729,Jen,2018,February,Tuesday,foundation,62,188.6997932,south
730,Cristina,2020,March,Friday,lip gloss,4,10.15141308,west
731,Betsy,2018,July,Tuesday,mascara,3,7.226376292,west
732,Hallagan,2019,July,Thursday,mascara,62,187.7148472,midwest
733,Betsy,2018,August,Wednesday,lipstick,92,277.6765791,midwest
734,Zaret,2020,December,Sunday,foundation,35,107.0951994,south
735,Betsy,2019,April,Monday,eye liner,91,274.9627164,west
736,Cristina,2018,July,Friday,mascara,21,64.32188429,south
737,Colleen,2020,January,Saturday,mascara,49,148.7389315,south
738,Zaret,2019,March,Saturday,foundation,34,103.3484344,midwest
739,Hallagan,2019,January,Sunday,lip gloss,56,170.1212435,east
740,Cristina,2018,May,Wednesday,eye liner,81,244.8542144,west
741,Betsy,2018,April,Monday,eye liner,63,191.2465604,west
742,Cristina,2019,April,Monday,foundation,3,7.365785003,midwest
743,Colleen,2019,July,Thursday,foundation,8,25.81066669,east
744,Jen,2018,March,Thursday,lip gloss,46,139.616333,west
745,Colleen,2019,February,Monday,lip gloss,3,10.87686298,south
746,Colleen,2020,May,Monday,foundation,68,205.8603977,west
747,Betsy,2020,April,Wednesday,foundation,83,251.062831,east
748,Cristina,2019,February,Monday,eye liner,51,155.1234192,west
749,Cici,2020,April,Wednesday,foundation,16,50.20353875,west
750,Cici,2020,May,Thursday,eye liner,2,3.913562783,south
751,Cristina,2018,November,Monday,lip gloss,6,20.37042403,south
752,Colleen,2019,October,Tuesday,lip gloss,5,12.57170178,east
753,Betsy,2020,January,Saturday,eye liner,42,127.7112318,south
754,Cristina,2019,January,Wednesday,eye liner,47,143.3840946,midwest
755,Hallagan,2020,July,Thursday,mascara,16,50.19386299,west
756,Cici,2018,May,Saturday,lip gloss,11,35.3561964,west
757,Betsy,2018,November,Monday,eye liner,10,27.89676055,east
758,Ashley,2018,March,Wednesday,eye liner,21,65.37919558,south
759,Cici,2019,October,Tuesday,mascara,52,157.725965,east
760,Cristina,2018,April,Monday,lipstick,5,17.00512005,south
761,Cristina,2019,July,Friday,eye liner,52,158.434476,midwest
762,Colleen,2019,March,Wednesday,mascara,38,115.388896,south
763,Emilee,2020,May,Thursday,mascara,84,254.2621659,east
764,Cici,2020,December,Wednesday,lipstick,18,55.34342844,south
765,Jen,2018,May,Tuesday,lip gloss,6,15.74282976,west
766,Cici,2018,March,Thursday,lip gloss,5,16.91354163,west
767,Colleen,2020,December,Wednesday,foundation,59,178.8959736,south
768,Colleen,2019,June,Sunday,mascara,1,1.431724218,east
769,Jen,2019,January,Sunday,lipstick,12,37.85449636,east
770,Colleen,2018,March,Sunday,lipstick,25,76.80845834,east
771,Cristina,2019,June,Sunday,mascara,33,101.4241831,east
772,Betsy,2018,February,Saturday,mascara,12,37.88703805,west
773,Emilee,2019,August,Tuesday,eye liner,52,158.3077205,east
774,Jen,2019,March,Wednesday,eye liner,34,103.6231618,west
775,Cristina,2019,July,Friday,foundation,66,200.65881,south
776,Cristina,2018,July,Saturday,lipstick,10,31.85324727,south
777,Cici,2018,February,Saturday,foundation,5,12.54762748,midwest
778,Ashley,2019,August,Tuesday,mascara,89,269.48919,south
779,Cici,2019,April,Sunday,foundation,5,16.81820636,south
780,Jen,2020,October,Thursday,mascara,48,145.985164,midwest
781,Betsy,2020,December,Wednesday,mascara,36,109.9239744,midwest
782,Cristina,2020,November,Tuesday,mascara,80,241.9974152,west
783,Betsy,2020,November,Saturday,lip gloss,64,193.8910819,west
784,Betsy,2019,October,Friday,foundation,51,155.4998168,east
785,Ashley,2019,April,Sunday,eye liner,92,278.3402039,east
786,Cici,2019,April,Thursday,eye liner,93,280.8557576,midwest
787,Jen,2019,January,Thursday,foundation,36,110.4811674,west
788,Ashley,2020,October,Thursday,lip gloss,9,24.82690497,midwest
789,Jen,2019,May,Tuesday,lip gloss,48,146.2328702,west
790,Cici,2019,November,Wednesday,eye liner,11,34.54792782,east
791,Cici,2018,July,Tuesday,lipstick,8,25.45361882,west
792,Colleen,2018,April,Monday,foundation,36,110.091719,east
793,Cici,2019,November,Saturday,mascara,93,280.7797629,west
794,Hallagan,2018,April,Monday,lip gloss,39,119.2028408,east
795,Hallagan,2018,May,Wednesday,eye liner,72,218.0772887,south
796,Emilee,2020,March,Monday,lip gloss,3,10.41617642,midwest
797,Zaret,2018,December,Saturday,mascara,47,142.8388636,east
798,Cristina,2020,December,Thursday,mascara,72,217.3244513,west
799,Colleen,2020,December,Wednesday,mascara,26,79.7485892,midwest
800,Zaret,2018,October,Tuesday,eye liner,47,142.4875548,south
801,Cristina,2020,January,Tuesday,lip gloss,14,43.40382473,east
802,Zaret,2019,June,Sunday,mascara,71,215.0758231,south
803,Hallagan,2020,August,Friday,foundation,95,287.7973826,midwest
804,Cici,2020,March,Monday,mascara,37,112.7791974,south
805,Hallagan,2019,December,Thursday,lip gloss,1,0.391175144,east
806,Emilee,2020,August,Friday,eye liner,26,80.20858983,midwest
807,Zaret,2017,December,Sunday,eye liner,67,203.5429904,east
808,Emilee,2018,February,Tuesday,lip gloss,15,47.19835148,midwest
809,Jen,2020,February,Thursday,lip gloss,73,221.3361235,south
810,Jen,2018,October,Tuesday,mascara,13,40.89987545,west
811,Emilee,2018,March,Sunday,foundation,76,229.5581215,east
812,Cici,2018,June,Sunday,eye liner,9,24.93308292,south
813,Colleen,2019,June,Saturday,lipstick,36,109.5332822,west
814,Ashley,2018,May,Wednesday,foundation,11,35.5218051,south
815,Colleen,2020,January,Saturday,lip gloss,73,220.5004979,east
816,Jen,2018,October,Saturday,lipstick,93,280.2654489,south
817,Betsy,2020,April,Saturday,foundation,69,209.3167095,east
818,Hallagan,2018,April,Monday,eye liner,86,259.4849369,midwest
819,Betsy,2020,May,Friday,mascara,54,164.3793897,south
820,Cristina,2019,April,Thursday,mascara,2,4.040363555,midwest
821,Zaret,2020,September,Wednesday,foundation,83,250.1653363,west
822,Cici,2019,October,Friday,mascara,2,8.001218418,west
823,Colleen,2020,August,Friday,eye liner,54,164.1496286,midwest
824,Hallagan,2018,March,Thursday,foundation,76,230.4194381,east
825,Betsy,2019,August,Wednesday,eye liner,10,32.25056759,midwest
826,Jen,2020,October,Thursday,foundation,81,245.0393615,west
827,Jen,2020,September,Wednesday,eye liner,83,251.1406071,midwest
828,Zaret,2020,October,Friday,foundation,6,19.52237023,south
829,Colleen,2020,November,Tuesday,mascara,77,233.1563187,east
830,Jen,2020,March,Tuesday,mascara,41,125.2839719,west
831,Ashley,2020,December,Wednesday,lip gloss,80,241.7073588,south
832,Zaret,2020,May,Monday,eye liner,20,62.21009786,east
833,Emilee,2018,January,Monday,eye liner,31,95.32719665,midwest
834,Hallagan,2020,January,Tuesday,foundation,34,103.8965431,east
835,Ashley,2019,August,Wednesday,foundation,2,8.03425147,west
836,Jen,2020,February,Sunday,foundation,17,53.33183842,south
837,Emilee,2020,May,Friday,eye liner,16,50.31089448,south
838,Cristina,2020,March,Monday,foundation,54,163.701979,west
839,Zaret,2018,February,Tuesday,lip gloss,9,24.92199993,east
840,Zaret,2020,April,Sunday,eye liner,94,284.5357532,west
841,Jen,2018,August,Thursday,foundation,3,7.449711404,midwest
842,Cristina,2018,November,Sunday,mascara,9,28.83080994,west
843,Hallagan,2018,March,Sunday,foundation,25,77.10820341,east
844,Ashley,2020,October,Monday,lip gloss,29,89.3105459,south
845,Cici,2018,August,Sunday,eye liner,37,113.2132346,east
846,Zaret,2019,June,Sunday,foundation,19,59.00376048,west
847,Cristina,2018,April,Monday,lip gloss,28,86.04518511,midwest
848,Jen,2018,June,Sunday,eye liner,18,55.85854948,west
849,Ashley,2020,May,Friday,lipstick,84,254.0430251,south
850,Emilee,2018,October,Saturday,foundation,79,238.8274396,west
851,Cici,2018,November,Sunday,foundation,31,94.9729612,midwest
852,Jen,2020,July,Thursday,lipstick,34,103.3986361,east
853,Cici,2019,November,Wednesday,mascara,66,201.255368,south
854,Emilee,2020,May,Monday,mascara,44,134.4498586,east
855,Betsy,2019,January,Sunday,eye liner,94,284.419445,south
856,Colleen,2018,April,Monday,foundation,11,35.29986069,east
857,Hallagan,2018,August,Sunday,lip gloss,74,223.9745799,east
858,Jen,2020,December,Wednesday,mascara,28,86.48556491,west
859,Cristina,2019,June,Saturday,lip gloss,40,121.9218075,west
860,Cristina,2018,February,Friday,lip gloss,34,104.1689154,south
861,Betsy,2019,September,Sunday,eye liner,38,115.8518015,south
862,Hallagan,2019,June,Wednesday,mascara,69,209.1433639,midwest
863,Ashley,2019,August,Saturday,eye liner,34,103.9705832,midwest
864,Betsy,2019,August,Tuesday,mascara,29,89.38394374,midwest
865,Colleen,2018,February,Tuesday,foundation,10,27.72493905,midwest
866,Cici,2018,October,Wednesday,lipstick,42,128.428704,midwest
867,Zaret,2020,March,Friday,mascara,58,175.9742351,west
868,Emilee,2018,March,Wednesday,foundation,27,83.01665014,midwest
869,Cici,2020,July,Wednesday,eye liner,47,143.2742037,east
870,Emilee,2018,February,Friday,foundation,29,88.69671633,south
871,Cici,2020,May,Thursday,mascara,28,86.22642095,south
872,Betsy,2020,September,Wednesday,eye liner,79,239.0577406,south
873,Ashley,2018,November,Sunday,eye liner,41,124.8178641,east
874,Emilee,2019,July,Thursday,lipstick,57,172.9618852,midwest
875,Cici,2020,July,Sunday,lip gloss,45,137.6200229,west
876,Jen,2020,March,Friday,mascara,91,274.9123022,west
877,Emilee,2019,January,Sunday,mascara,49,149.0413131,west
878,Betsy,2018,September,Friday,lip gloss,68,206.160978,west
879,Colleen,2019,February,Monday,lipstick,38,116.644809,west
880,Ashley,2020,September,Wednesday,foundation,4,15.20564325,south
